PWMFlankingScore,Label
-15003.48797817066,0
-17482.808481733755,1
-15577.79172948581,1
-15214.257131193766,0
-15206.8567813748,0
-15350.535406736424,0
-17253.86660286816,1
-15469.569662059874,0
-16159.812989790482,1
-16118.534872180919,0
-14546.632213455923,0
-17360.946617955662,0
-15785.019025061396,1
-15270.556099483505,0
-15534.96647518113,0
-15435.024814364424,0
-15934.593064430675,0
-14048.90785030513,0
-17682.321879573185,1
-16363.16424168593,1
-17309.6902304703,0
-15849.830215333546,0
-16098.049171475084,0
-18251.648793407287,0
-15927.676881611247,0
-17672.185310028024,0
-16708.413612195876,0
-16564.3367073438,0
-17173.63302498335,0
-17481.658832097517,0
-18016.779092520123,0
-16806.893059494178,0
-16649.793224307436,0
-14339.612995938662,0
-15429.382566298227,0
-15274.996575641222,1
-22324.293918753872,0
-16760.97272494014,0
-15600.313485099248,0
-15860.56261586896,0
-16662.566459887923,0
-15103.541379040294,0
-16340.831011474816,0
-15278.593916960635,0
-17666.50016759113,1
-14717.27406010061,0
-15777.00486732945,0
-14300.264453025764,0
-13888.038698718785,1
-16458.194392424582,0
-15627.937930256832,1
-15715.608225571425,0
-15765.312746817857,0
-16603.992915605304,0
-15045.40668354405,0
-13622.307936918185,0
-17672.691692441098,0
-15613.899353182283,0
-15200.446272640038,0
-17062.79462787102,1
-17192.032814685117,0
-16277.636007507217,0
-15483.66741981721,0
-16621.083058637374,1
-15548.568934380244,1
-15020.08968157728,0
-15802.735243144045,0
-15390.547171166354,0
-15044.215579039748,1
-15652.766663104403,0
-15086.176183257583,0
-15128.869119012212,1
-13818.737753579106,0
-14116.96671106552,0
-17140.22140912429,0
-18507.9211643032,0
-15948.945310799936,0
-17180.717133419505,0
-16747.190071436456,0
-15697.507012884018,0
-16388.727592243635,1
-16200.296936460529,0
-16602.070345217067,0
-17760.547181855785,0
-16893.962749144208,1
-15631.35692523684,0
-17582.787312132907,0
-16871.958045199834,0
-16146.498989727299,0
-18410.67497132181,0
-16551.87503202589,0
-15918.86885802666,0
-17389.844173645506,0
-17194.465573655714,0
-15733.628565150708,0
-16307.92796287615,0
-16379.342982105953,0
-15532.3046087868,0
-14239.046464011142,0
-14209.427103652672,0
-14909.800450079056,0
-15433.120350343164,0
-15927.58954093281,0
-17182.741300652375,0
-17811.793715922897,0
-16772.250427814357,1
-15332.10981076465,0
-15706.923112646631,0
-17291.16782233687,1
-14688.269029006902,0
-16044.474176036116,1
-16144.392424507656,0
-16515.31397476043,0
-15751.041362478289,1
-15678.941510564051,0
-15988.8781324804,0
-15765.009850153807,0
-16442.41415642225,0
-15027.784558207473,0
-14897.091624022305,0
-15547.898887211322,0
-15021.848598834502,1
-16457.683443203387,0
-15420.368429858387,0
-14920.602175524593,0
-18599.755362881522,1
-17118.00954207829,0
-17524.78018086449,0
-17130.426332347895,1
-16656.521416032585,0
-17646.607671325997,0
-17373.067629771704,0
-16099.427766775028,0
-16827.90551567573,0
-17037.984421739657,0
-17194.385538581468,0
-16043.860738823256,0
-18292.73891234364,0
-16480.142551483343,0
-17411.22741417524,1
-16235.091001237684,0
-16432.444959174452,0
-15798.705144899972,0
-16229.967898429926,0
-17104.507797148457,0
-18074.57090875346,0
-16005.14232821517,0
-16568.30779212805,0
-16265.936463123822,0
-17509.112599953372,0
-18381.561089728908,0
-18847.259973396234,1
-15917.704596583713,0
-16082.124656145183,1
-16808.180775681405,0
-17221.461946778563,0
-16984.922884845135,1
-17887.656300516395,0
-17077.93477673866,0
-15657.614039852675,0
-19322.759792298235,0
-16447.65709022798,0
-19291.954916870396,0
-17748.464388895307,0
-16283.203211442868,1
-18437.113023537557,1
-15669.781805504612,0
-16189.494054401985,0
-16259.908928739655,0
-16922.6583874098,1
-17164.105090370867,0
-16214.888999155084,0
-16522.710445060497,0
-17418.45550908219,1
-18324.6213264582,0
-16706.027931104465,0
-16026.218714572193,0
-14681.290383457115,1
-16686.923185218846,0
-16314.119802764148,0
-15214.889441406445,0
-16852.652260510586,0
-17282.58768546281,0
-17191.60282088514,0
-16083.282536313456,1
-16684.75129170361,1
-15715.846613503883,1
-15657.247136179321,0
-15773.305296703273,0
-15983.217225118888,0
-16714.4816296622,0
-16691.888180490845,0
-15398.526894840432,0
-18009.61649589801,0
-17967.663757744707,0
-16945.042014355713,0
-15336.323953695688,0
-17128.992550645038,0
-15000.785003208443,0
-15507.072374563715,0
-14962.579578817657,0
-15364.344556582362,0
-16744.80355890447,0
-15332.76269501712,0
-16724.79899566997,0
-15389.149723865017,0
-15953.151219254676,0
-15276.220407951465,0
-16816.032214051087,0
-15696.020013322486,1
-16576.876452192137,0
-17899.02535464082,0
-15665.132832971181,0
-14890.623969178152,1
-15346.677258288566,0
-14458.847772336692,0
-17250.034330408685,0
-15551.884833339764,0
-14306.935057564579,1
-15152.553045872557,0
-14715.2725509721,0
-15844.765449393324,0
-14705.884831491661,0
-15323.13321703486,1
-17452.150963919124,0
-15806.776522648224,0
-14381.17788352279,0
-15484.608178152124,0
-14604.748884685765,0
-15330.032878405136,0
-14600.377450139122,0
-15413.375474944598,0
-15634.335377944468,0
-14045.639877303598,1
-14520.564480356077,1
-16995.83457933933,0
-17683.788662093757,0
-18249.287452987715,0
-17579.126452173517,0
-17509.337134691745,0
-17381.735574533235,0
-15368.012970431686,1
-15615.232518966612,0
-15822.460837792172,0
-18158.643849642765,0
-18172.524905243885,0
-16883.518473527325,0
-17142.73345862339,0
-16607.59986309891,1
-17432.20527797637,0
-15635.432638120441,0
-15577.79172948581,1
-15237.808710899993,1
-17129.820929666905,0
-14664.871729190043,1
-17682.321879573185,1
-15845.557931407986,0
-15695.140355977925,0
-15967.877503872232,1
-17255.815946625095,0
-16569.09360266594,0
-13844.015634816518,0
-17017.115763835747,0
-18278.943940264035,0
-15972.105113420303,0
-14351.536204636233,0
-16185.118729503954,0
-16222.586775561253,1
-22324.293918753872,0
-14462.239660092106,0
-15860.56261586896,0
-16662.566459887923,0
-17044.83440106104,0
-15287.41744987883,0
-15669.750198669966,0
-15020.974180274381,0
-15571.520687155207,0
-17180.490518929982,0
-16131.136017400635,0
-16755.175925423875,0
-13912.637796431884,1
-15709.02229164516,0
-15592.933845578526,1
-16779.73786715164,0
-14404.352761359303,0
-15023.112124235031,0
-18050.748588426744,0
-14734.489851888879,1
-14652.55549476228,0
-15933.451132438675,0
-15325.321945571688,1
-15213.576997043858,1
-15749.77073194624,0
-17600.85901977518,0
-17946.009359603693,1
-15723.103803350019,0
-14829.556151634804,1
-15229.920884219937,0
-15128.869119012212,1
-13818.737753579106,0
-17172.97859762745,0
-18507.9211643032,0
-17343.98788812415,0
-17190.597864533735,0
-16566.311164235405,0
-17321.360024306283,1
-16465.202602709283,0
-15918.86885802666,0
-16528.14725142753,0
-15395.175691362036,0
-13971.23124253264,0
-15338.169904949897,0
-15010.774763777235,1
-15620.233401335916,0
-15689.872931652524,0
-16735.202573841863,0
-15037.587328479516,0
-13630.008449468847,0
-15532.3046087868,0
-15275.770460727686,0
-15757.284140957017,0
-15332.10981076465,0
-15639.254819224801,0
-17480.087389074895,0
-14631.820164172765,1
-16438.20062746576,0
-15433.504857909906,1
-16239.725000903036,0
-15026.315324550214,1
-15507.33467727913,0
-15161.209345291742,0
-14844.980891225769,0
-17347.74467069134,0
-15547.898887211322,0
-17040.512174220607,1
-15825.272646426592,0
-18599.755362881522,1
-18311.572508933546,1
-17446.9229352702,0
-17118.00954207829,0
-17524.78018086449,0
-17130.426332347895,1
-17412.388599303675,0
-19077.028136111152,0
-17605.676172990745,1
-17150.23777602208,1
-17373.067629771704,0
-18790.10924171127,1
-18164.876382219336,0
-15734.405656697478,1
-16827.90551567573,0
-17037.984421739657,0
-15375.447699452805,0
-17135.237478257037,1
-16069.039753281524,0
-16093.202133964975,1
-15983.730061650771,0
-16005.14232821517,0
-17415.674287704718,1
-18164.225522607972,1
-17335.53682622942,0
-16025.086640111338,1
-15920.605513172539,0
-15994.818174165306,1
-16282.146950112943,1
-17146.438909541645,0
-16790.9557599257,0
-16851.033450951396,1
-17298.365260152885,0
-16664.590218672372,1
-17138.61165112032,0
-16231.381981567125,0
